iid,c1,c2,c12,l1
5608495413,1.0,84,84.0,0
127458178,1.0,124,124.0,71
5436860307,1.0,807,807.0,353
203366331,1.0,75,75.0,0
4131872355,1.0,14,14.0,0
271085618,1.0,55,55.0,0
65440685,1.0,178,178.0,46
102647902,1.0,121,121.0,366
4201853852,1.0,75,75.0,7
5698791841,1.0,228,228.0,166
90187501,1.0,328,328.0,250
109814399,1.0,600,600.0,808
64454343,1.0,28,28.0,34
55610703,1.0,137,137.0,0
5459484601,1.0,38,38.0,663
259110092,1.0,17,17.0,19
48297337,1.0,93,93.0,36
4542505251,1.0,196,196.0,90
5667603286,1.0,62,62.0,48
31111520,1.0,87,87.0,14
120784475,1.0,101,101.0,66
5593130765,1.0,0,0.0,0
104702146,1.0,530,530.0,265
5486805409,1.0,2063,2063.0,1229
201588850,1.0,255,255.0,228
171187309,1.0,35,35.0,7
59298909,1.0,50,50.0,33
240602552,1.0,68,68.0,59
5387449063,1.0,55,55.0,105
157553460,1.0,46,46.0,24
263987360,1.0,86,86.0,10
147166995,1.0,36,36.0,27
82172351,1.0,113,113.0,17
107455973,1.0,334,334.0,928
96277929,1.0,86,86.0,20
198035011,1.0,24,24.0,24
5549891660,1.0,100,100.0,203
280763286,1.0,227,227.0,146
2273230,1.0,91,91.0,42
51988460,1.0,0,0.0,0
5493213993,1.0,20,20.0,24
126832078,1.0,20,20.0,0
219100309,1.0,61,61.0,0
33694335,1.0,0,0.0,10
57653560,1.0,286,286.0,111
113129125,1.0,411,411.0,602
79935661,1.0,73,73.0,225
160490361,1.0,454,454.0,264
28238933,1.0,19,19.0,64
72899542,1.0,138,138.0,101
5274965388,1.0,207,207.0,244
2746994,1.0,39,39.0,69
155098096,1.0,2097,2097.0,1557
27670993,1.0,37,37.0,0
202170919,1.0,6572,6572.0,1405
100927718,1.0,209,209.0,214
43935208,1.0,29,29.0,0
105813785,1.0,365,365.0,45
202198445,1.0,235,235.0,138
5650607997,1.0,347,347.0,278
5158817432,1.0,95,95.0,105
5789031358,1.0,90,90.0,126
11652427,1.0,825,825.0,824
51508973,1.0,86,86.0,57
4449400839,1.0,0,0.0,0
120543651,1.0,116,116.0,24
106037120,1.0,93,93.0,38
144356637,1.0,214,214.0,67
11135458,1.0,1509,1509.0,2095
89781550,1.0,31,31.0,81
114735987,1.0,224,224.0,335
227481758,1.0,387,387.0,0
180629715,1.0,40,40.0,0
5686985549,1.0,170,170.0,0
158949942,1.0,50,50.0,12
528838231,1.0,83,83.0,0
270144092,1.0,48,48.0,7
